id,experience,money,role,work_done
771072993807171635,0,10,0,0
345235302857572352,0,10,0,0
588081079726899212,0,10,1,0
538854971899379734,0,10,4,0
770361837479919722,0,10,3,0
581114879071748096,0,10,0,0
371237710469267457,0,10,0,0
623168463338471425,0,10,0,0
342620520975433728,0,10,9,0
423859657090793472,0,3,10,0
688872053872656390,0,5,0,0
292953664492929025,0,10,0,0
530096391783972867,0,10,0,0
434336240796565504,0,10,13,0
365521360157409290,0,10,17,0
427090706683658241,0,10,12,1
361033318273384449,0,10,0,0
623155062985719828,0,10,3,0
274533784601493505,0,10,0,0
546337450574741529,0,10,0,0
249253108956266498,0,10,11,0
394608036259430402,0,10,0,0
675763215455617053,0,10,0,0
361228321465434113,0,10,14,0
534054603210227733,0,10,0,0
330417707050598400,0,10,2,0
269583625069133825,0,10,4,0
302050872383242240,0,10,0,0
716644283054293143,0,10,0,0
338939566964604928,0,10,0,0
771495469212893205,0,10,0,0
325331140280057856,0,10,6,0
381508829692559360,0,10,15,0
235088799074484224,0,10,0,0
278270928666755083,0,10,8,0
497780396751323156,0,9999999999974,18,17
590162575728050177,0,10,0,0
621349881004687379,0,10,3,0
328606527231623171,0,10,0,0
464344792650743811,0,10,0,0
706888616231829555,0,10,3,0
